/*********************************************
 * OPL 12.6.2.0 Data
 * Author: NhuY
 * Creation Date: Mar 22, 2018 at 10:43:14 PM
 *********************************************/

 
 DUR = [2 16 9 8 10 6 2 2 9 5 3 2 1 7 4 3 9 1 0];
 //j	  1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 F]
 ARC =  [[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],
		 [0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],
		 [0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],
		 [0 0 0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 0 0],
		 [0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],
		 [0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0],
		 [0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],
		 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],
		 [0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0],
		 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],
		 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],
		 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0],
		 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],
		 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0],
		 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],
		 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],
		 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0],
		 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1],
		 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 ];
